# StockID|MedicineID|BatchNumber|Supplier|Quantity|ManufacturingDate|ExpiryDate|ReceivedDate|CostPerUnit|isDeleted
S0001|MED001|B-20250901|PHARMACORP|150|2024-01-01|2026-12-31|2025-09-01|4.0|false
S0002|MED002|B-20250902|MEDISUPPLY|100|2024-02-15|2026-10-15|2025-09-02|6.5|false
S0003|MED003|B-20250903|COUGHCURE_LTD|80|2024-03-10|2026-08-20|2025-09-03|9.5|false
S0004|MED004|B-20250904|HEALTHPLUS|200|2024-04-05|2027-01-10|2025-09-04|5.0|false
S0005|MED005|B-20250905|MEDTECH|60|2024-05-20|2026-11-05|2025-09-05|12.0|false
S0006|MED006|B-20250906|BIOSUPPLY|120|2024-06-12|2026-09-30|2025-09-06|3.2|false
S0007|MED007|B-20250907|PHARMACORP|90|2024-07-08|2027-02-14|2025-09-07|8.0|false
S0008|MED008|B-20250908|MEDISUPPLY|70|2024-08-15|2026-07-25|2025-09-08|14.0|false
S0009|MED009|B-20250909|HEALTHPLUS|50|2024-09-22|2026-12-01|2025-09-09|20.0|false
S0010|MED010|B-20250910|MEDTECH|180|2024-10-30|2027-03-08|2025-09-10|2.5|false
